onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
1.486	1	Stimulus/S  1	1	14860	14868	0	5	30	pips_40_500-8000.hdf5	both	none
2.5526	1	Stimulus/S  1	1	25526	25534	1	0	20	pips_40_500-8000.hdf5	both	none
3.6087	1	Stimulus/S  1	1	36087	36095	1	1	40	pips_40_500-8000.hdf5	both	none
4.6753	1	Stimulus/S  1	1	46753	46761	1	2	60	pips_40_500-8000.hdf5	both	none
5.7207	1	Stimulus/S  1	1	57207	57215	1	3	70	pips_40_500-8000.hdf5	both	none
6.766	1	Stimulus/S  1	1	67660	67668	1	4	50	pips_40_500-8000.hdf5	both	none
7.822	1	Stimulus/S  1	1	78220	78228	1	5	30	pips_40_500-8000.hdf5	both	none
8.8674	1	Stimulus/S  1	1	88674	88682	2	0	20	pips_40_500-8000.hdf5	both	none
9.934	1	Stimulus/S  1	1	99340	99348	2	1	40	pips_40_500-8000.hdf5	both	none
11.0007	1	Stimulus/S  1	1	110007	110015	2	2	60	pips_40_500-8000.hdf5	both	none
12.0674	1	Stimulus/S  1	1	120674	120682	2	3	70	pips_40_500-8000.hdf5	both	none
13.1234	1	Stimulus/S  1	1	131234	131242	2	4	50	pips_40_500-8000.hdf5	both	none
14.1688	1	Stimulus/S  1	1	141688	141696	2	5	30	pips_40_500-8000.hdf5	both	none
15.2248	1	Stimulus/S  1	1	152248	152256	3	0	20	pips_40_500-8000.hdf5	both	none
16.2914	1	Stimulus/S  1	1	162914	162922	3	1	40	pips_40_500-8000.hdf5	both	none
17.3368	1	Stimulus/S  1	1	173368	173376	3	2	60	pips_40_500-8000.hdf5	both	none
18.3821	1	Stimulus/S  1	1	183821	183829	3	3	70	pips_40_500-8000.hdf5	both	none
19.4381	1	Stimulus/S  1	1	194381	194389	3	4	50	pips_40_500-8000.hdf5	both	none
20.5048	1	Stimulus/S  1	1	205048	205056	3	5	30	pips_40_500-8000.hdf5	both	none
21.5715	1	Stimulus/S  1	1	215715	215723	4	0	20	pips_40_500-8000.hdf5	both	none
22.6382	1	Stimulus/S  1	1	226382	226390	4	1	40	pips_40_500-8000.hdf5	both	none
23.6835	1	Stimulus/S  1	1	236835	236843	4	2	60	pips_40_500-8000.hdf5	both	none
24.7502	1	Stimulus/S  1	1	247502	247510	4	3	70	pips_40_500-8000.hdf5	both	none
25.8062	1	Stimulus/S  1	1	258062	258070	4	4	50	pips_40_500-8000.hdf5	both	none
26.8729	1	Stimulus/S  1	1	268729	268737	4	5	30	pips_40_500-8000.hdf5	both	none
27.9182	1	Stimulus/S  1	1	279182	279190	5	0	20	pips_40_500-8000.hdf5	both	none
28.9742	1	Stimulus/S  1	1	289742	289750	5	1	40	pips_40_500-8000.hdf5	both	none
30.0196	1	Stimulus/S  1	1	300196	300204	5	2	60	pips_40_500-8000.hdf5	both	none
31.0756	1	Stimulus/S  1	1	310756	310764	5	3	70	pips_40_500-8000.hdf5	both	none
32.1209	1	Stimulus/S  1	1	321209	321217	5	4	50	pips_40_500-8000.hdf5	both	none
33.1876	1	Stimulus/S  1	1	331876	331884	5	5	30	pips_40_500-8000.hdf5	both	none
34.2329	1	Stimulus/S  1	1	342329	342337	6	0	20	pips_40_500-8000.hdf5	both	none
35.2996	1	Stimulus/S  1	1	352996	353004	6	1	40	pips_40_500-8000.hdf5	both	none
36.3556	1	Stimulus/S  1	1	363556	363564	6	2	60	pips_40_500-8000.hdf5	both	none
37.4223	1	Stimulus/S  1	1	374223	374231	6	3	70	pips_40_500-8000.hdf5	both	none
38.489	1	Stimulus/S  1	1	384890	384898	6	4	50	pips_40_500-8000.hdf5	both	none
39.5557	1	Stimulus/S  1	1	395557	395565	6	5	30	pips_40_500-8000.hdf5	both	none
40.6223	1	Stimulus/S  1	1	406223	406231	7	0	20	pips_40_500-8000.hdf5	both	none
41.689	1	Stimulus/S  1	1	416890	416898	7	1	40	pips_40_500-8000.hdf5	both	none
42.7344	1	Stimulus/S  1	1	427344	427352	7	2	60	pips_40_500-8000.hdf5	both	none
43.7904	1	Stimulus/S  1	1	437904	437912	7	3	70	pips_40_500-8000.hdf5	both	none
44.8357	1	Stimulus/S  1	1	448357	448365	7	4	50	pips_40_500-8000.hdf5	both	none
45.8917	1	Stimulus/S  1	1	458917	458925	7	5	30	pips_40_500-8000.hdf5	both	none
46.9371	1	Stimulus/S  1	1	469371	469379	8	0	20	pips_40_500-8000.hdf5	both	none
48.0037	1	Stimulus/S  1	1	480037	480045	8	1	40	pips_40_500-8000.hdf5	both	none
49.0597	1	Stimulus/S  1	1	490597	490605	8	2	60	pips_40_500-8000.hdf5	both	none
50.1264	1	Stimulus/S  1	1	501264	501272	8	3	70	pips_40_500-8000.hdf5	both	none
51.1718	1	Stimulus/S  1	1	511718	511726	8	4	50	pips_40_500-8000.hdf5	both	none
52.2171	1	Stimulus/S  1	1	522171	522179	8	5	30	pips_40_500-8000.hdf5	both	none
53.2731	1	Stimulus/S  1	1	532731	532739	9	0	20	pips_40_500-8000.hdf5	both	none
54.3185	1	Stimulus/S  1	1	543185	543193	9	1	40	pips_40_500-8000.hdf5	both	none
55.3745	1	Stimulus/S  1	1	553745	553753	9	2	60	pips_40_500-8000.hdf5	both	none
56.4198	1	Stimulus/S  1	1	564198	564206	9	3	70	pips_40_500-8000.hdf5	both	none
57.4758	1	Stimulus/S  1	1	574758	574766	9	4	50	pips_40_500-8000.hdf5	both	none
58.5212	1	Stimulus/S  1	1	585212	585220	9	5	30	pips_40_500-8000.hdf5	both	none
59.5878	1	Stimulus/S  1	1	595878	595886	10	0	20	pips_40_500-8000.hdf5	both	none
60.6545	1	Stimulus/S  1	1	606545	606553	10	1	40	pips_40_500-8000.hdf5	both	none
61.7212	1	Stimulus/S  1	1	617212	617220	10	2	60	pips_40_500-8000.hdf5	both	none
62.7879	1	Stimulus/S  1	1	627879	627887	10	3	70	pips_40_500-8000.hdf5	both	none
63.8546	1	Stimulus/S  1	1	638546	638554	10	4	50	pips_40_500-8000.hdf5	both	none
64.9212	1	Stimulus/S  1	1	649212	649220	10	5	30	pips_40_500-8000.hdf5	both	none
65.9666	1	Stimulus/S  1	1	659666	659674	11	0	20	pips_40_500-8000.hdf5	both	none
67.0332	1	Stimulus/S  1	1	670332	670340	11	1	40	pips_40_500-8000.hdf5	both	none
68.0893	1	Stimulus/S  1	1	680893	680901	11	2	60	pips_40_500-8000.hdf5	both	none
69.1346	1	Stimulus/S  1	1	691346	691354	11	3	70	pips_40_500-8000.hdf5	both	none
70.1906	1	Stimulus/S  1	1	701906	701914	11	4	50	pips_40_500-8000.hdf5	both	none
71.236	1	Stimulus/S  1	1	712360	712368	11	5	30	pips_40_500-8000.hdf5	both	none
72.292	1	Stimulus/S  1	1	722920	722928	12	0	20	pips_40_500-8000.hdf5	both	none
73.3373	1	Stimulus/S  1	1	733373	733381	12	1	40	pips_40_500-8000.hdf5	both	none
74.3933	1	Stimulus/S  1	1	743933	743941	12	2	60	pips_40_500-8000.hdf5	both	none
75.4387	1	Stimulus/S  1	1	754387	754395	12	3	70	pips_40_500-8000.hdf5	both	none
76.484	1	Stimulus/S  1	1	764840	764848	12	4	50	pips_40_500-8000.hdf5	both	none
77.54	1	Stimulus/S  1	1	775400	775408	12	5	30	pips_40_500-8000.hdf5	both	none
78.6067	1	Stimulus/S  1	1	786067	786075	13	0	20	pips_40_500-8000.hdf5	both	none
79.6734	1	Stimulus/S  1	1	796734	796742	13	1	40	pips_40_500-8000.hdf5	both	none
80.74	1	Stimulus/S  1	1	807400	807408	13	2	60	pips_40_500-8000.hdf5	both	none
81.8067	1	Stimulus/S  1	1	818067	818075	13	3	70	pips_40_500-8000.hdf5	both	none
82.8734	1	Stimulus/S  1	1	828734	828742	13	4	50	pips_40_500-8000.hdf5	both	none
83.9401	1	Stimulus/S  1	1	839401	839409	13	5	30	pips_40_500-8000.hdf5	both	none
84.9854	1	Stimulus/S  1	1	849854	849862	14	0	20	pips_40_500-8000.hdf5	both	none
86.0521	1	Stimulus/S  1	1	860521	860529	14	1	40	pips_40_500-8000.hdf5	both	none
87.1081	1	Stimulus/S  1	1	871081	871089	14	2	60	pips_40_500-8000.hdf5	both	none
88.1748	1	Stimulus/S  1	1	881748	881756	14	3	70	pips_40_500-8000.hdf5	both	none
89.2201	1	Stimulus/S  1	1	892201	892209	14	4	50	pips_40_500-8000.hdf5	both	none
90.2761	1	Stimulus/S  1	1	902761	902769	14	5	30	pips_40_500-8000.hdf5	both	none
91.3215	1	Stimulus/S  1	1	913215	913223	15	0	20	pips_40_500-8000.hdf5	both	none
92.3668	1	Stimulus/S  1	1	923668	923676	15	1	40	pips_40_500-8000.hdf5	both	none
93.4228	1	Stimulus/S  1	1	934228	934236	15	2	60	pips_40_500-8000.hdf5	both	none
94.4895	1	Stimulus/S  1	1	944895	944903	15	3	70	pips_40_500-8000.hdf5	both	none
95.5348	1	Stimulus/S  1	1	955348	955356	15	4	50	pips_40_500-8000.hdf5	both	none
96.6015	1	Stimulus/S  1	1	966015	966023	15	5	30	pips_40_500-8000.hdf5	both	none
97.6575	1	Stimulus/S  1	1	976575	976583	16	0	20	pips_40_500-8000.hdf5	both	none
98.7242	1	Stimulus/S  1	1	987242	987250	16	1	40	pips_40_500-8000.hdf5	both	none
99.7909	1	Stimulus/S  1	1	997909	997917	16	2	60	pips_40_500-8000.hdf5	both	none
100.8576	1	Stimulus/S  1	1	1008576	1008584	16	3	70	pips_40_500-8000.hdf5	both	none
101.9242	1	Stimulus/S  1	1	1019242	1019250	16	4	50	pips_40_500-8000.hdf5	both	none
102.9909	1	Stimulus/S  1	1	1029909	1029917	16	5	30	pips_40_500-8000.hdf5	both	none
104.0576	1	Stimulus/S  1	1	1040576	1040584	17	0	20	pips_40_500-8000.hdf5	both	none
105.1029	1	Stimulus/S  1	1	1051029	1051037	17	1	40	pips_40_500-8000.hdf5	both	none
106.1696	1	Stimulus/S  1	1	1061696	1061704	17	2	60	pips_40_500-8000.hdf5	both	none
107.2256	1	Stimulus/S  1	1	1072256	1072264	17	3	70	pips_40_500-8000.hdf5	both	none
108.2923	1	Stimulus/S  1	1	1082923	1082931	17	4	50	pips_40_500-8000.hdf5	both	none
109.3376	1	Stimulus/S  1	1	1093376	1093384	17	5	30	pips_40_500-8000.hdf5	both	none
110.3937	1	Stimulus/S  1	1	1103937	1103945	18	0	20	pips_40_500-8000.hdf5	both	none
111.439	1	Stimulus/S  1	1	1114390	1114398	18	1	40	pips_40_500-8000.hdf5	both	none
112.4843	1	Stimulus/S  1	1	1124843	1124851	18	2	60	pips_40_500-8000.hdf5	both	none
113.5403	1	Stimulus/S  1	1	1135403	1135411	18	3	70	pips_40_500-8000.hdf5	both	none
114.607	1	Stimulus/S  1	1	1146070	1146078	18	4	50	pips_40_500-8000.hdf5	both	none
115.6524	1	Stimulus/S  1	1	1156524	1156532	18	5	30	pips_40_500-8000.hdf5	both	none
116.719	1	Stimulus/S  1	1	1167190	1167198	19	0	20	pips_40_500-8000.hdf5	both	none
117.7751	1	Stimulus/S  1	1	1177751	1177759	19	1	40	pips_40_500-8000.hdf5	both	none
118.8417	1	Stimulus/S  1	1	1188417	1188425	19	2	60	pips_40_500-8000.hdf5	both	none
119.9084	1	Stimulus/S  1	1	1199084	1199092	19	3	70	pips_40_500-8000.hdf5	both	none
120.9751	1	Stimulus/S  1	1	1209751	1209759	19	4	50	pips_40_500-8000.hdf5	both	none
122.0418	1	Stimulus/S  1	1	1220418	1220426	19	5	30	pips_40_500-8000.hdf5	both	none
123.1084	1	Stimulus/S  1	1	1231084	1231092	20	0	20	pips_40_500-8000.hdf5	both	none
124.1751	1	Stimulus/S  1	1	1241751	1241759	20	1	40	pips_40_500-8000.hdf5	both	none
125.2205	1	Stimulus/S  1	1	1252205	1252213	20	2	60	pips_40_500-8000.hdf5	both	none
126.2871	1	Stimulus/S  1	1	1262871	1262879	20	3	70	pips_40_500-8000.hdf5	both	none
127.3431	1	Stimulus/S  1	1	1273431	1273439	20	4	50	pips_40_500-8000.hdf5	both	none
128.4098	1	Stimulus/S  1	1	1284098	1284106	20	5	30	pips_40_500-8000.hdf5	both	none
129.4552	1	Stimulus/S  1	1	1294552	1294560	21	0	20	pips_40_500-8000.hdf5	both	none
130.5112	1	Stimulus/S  1	1	1305112	1305120	21	1	40	pips_40_500-8000.hdf5	both	none
131.5565	1	Stimulus/S  1	1	1315565	1315573	21	2	60	pips_40_500-8000.hdf5	both	none
132.6019	1	Stimulus/S  1	1	1326019	1326027	21	3	70	pips_40_500-8000.hdf5	both	none
133.6579	1	Stimulus/S  1	1	1336579	1336587	21	4	50	pips_40_500-8000.hdf5	both	none
134.7245	1	Stimulus/S  1	1	1347245	1347253	21	5	30	pips_40_500-8000.hdf5	both	none
135.7699	1	Stimulus/S  1	1	1357699	1357707	22	0	20	pips_40_500-8000.hdf5	both	none
136.8366	1	Stimulus/S  1	1	1368366	1368374	22	1	40	pips_40_500-8000.hdf5	both	none
137.8926	1	Stimulus/S  1	1	1378926	1378934	22	2	60	pips_40_500-8000.hdf5	both	none
138.9593	1	Stimulus/S  1	1	1389593	1389601	22	3	70	pips_40_500-8000.hdf5	both	none
140.0259	1	Stimulus/S  1	1	1400259	1400267	22	4	50	pips_40_500-8000.hdf5	both	none
141.0926	1	Stimulus/S  1	1	1410926	1410934	22	5	30	pips_40_500-8000.hdf5	both	none
142.1593	1	Stimulus/S  1	1	1421593	1421601	23	0	20	pips_40_500-8000.hdf5	both	none
143.226	1	Stimulus/S  1	1	1432260	1432268	23	1	40	pips_40_500-8000.hdf5	both	none
144.2926	1	Stimulus/S  1	1	1442926	1442934	23	2	60	pips_40_500-8000.hdf5	both	none
145.338	1	Stimulus/S  1	1	1453380	1453388	23	3	70	pips_40_500-8000.hdf5	both	none
146.394	1	Stimulus/S  1	1	1463940	1463948	23	4	50	pips_40_500-8000.hdf5	both	none
147.4393	1	Stimulus/S  1	1	1474393	1474401	23	5	30	pips_40_500-8000.hdf5	both	none
148.4847	1	Stimulus/S  1	1	1484847	1484855	24	0	20	pips_40_500-8000.hdf5	both	none
149.5407	1	Stimulus/S  1	1	1495407	1495415	24	1	40	pips_40_500-8000.hdf5	both	none
150.586	1	Stimulus/S  1	1	1505860	1505868	24	2	60	pips_40_500-8000.hdf5	both	none
151.642	1	Stimulus/S  1	1	1516420	1516428	24	3	70	pips_40_500-8000.hdf5	both	none
152.6874	1	Stimulus/S  1	1	1526874	1526882	24	4	50	pips_40_500-8000.hdf5	both	none
153.7541	1	Stimulus/S  1	1	1537541	1537549	24	5	30	pips_40_500-8000.hdf5	both	none
154.8101	1	Stimulus/S  1	1	1548101	1548109	25	0	20	pips_40_500-8000.hdf5	both	none
155.8767	1	Stimulus/S  1	1	1558767	1558775	25	1	40	pips_40_500-8000.hdf5	both	none
156.9434	1	Stimulus/S  1	1	1569434	1569442	25	2	60	pips_40_500-8000.hdf5	both	none
158.0101	1	Stimulus/S  1	1	1580101	1580109	25	3	70	pips_40_500-8000.hdf5	both	none
159.0768	1	Stimulus/S  1	1	1590768	1590776	25	4	50	pips_40_500-8000.hdf5	both	none
160.1434	1	Stimulus/S  1	1	1601434	1601442	25	5	30	pips_40_500-8000.hdf5	both	none
161.2101	1	Stimulus/S  1	1	1612101	1612109	26	0	20	pips_40_500-8000.hdf5	both	none
162.2768	1	Stimulus/S  1	1	1622768	1622776	26	1	40	pips_40_500-8000.hdf5	both	none
163.3435	1	Stimulus/S  1	1	1633435	1633443	26	2	60	pips_40_500-8000.hdf5	both	none
164.4102	1	Stimulus/S  1	1	1644102	1644110	26	3	70	pips_40_500-8000.hdf5	both	none
165.4555	1	Stimulus/S  1	1	1654555	1654563	26	4	50	pips_40_500-8000.hdf5	both	none
166.5115	1	Stimulus/S  1	1	1665115	1665123	26	5	30	pips_40_500-8000.hdf5	both	none
167.5569	1	Stimulus/S  1	1	1675569	1675577	27	0	20	pips_40_500-8000.hdf5	both	none
168.6022	1	Stimulus/S  1	1	1686022	1686030	27	1	40	pips_40_500-8000.hdf5	both	none
169.6582	1	Stimulus/S  1	1	1696582	1696590	27	2	60	pips_40_500-8000.hdf5	both	none
170.7035	1	Stimulus/S  1	1	1707035	1707043	27	3	70	pips_40_500-8000.hdf5	both	none
171.7702	1	Stimulus/S  1	1	1717702	1717710	27	4	50	pips_40_500-8000.hdf5	both	none
172.8262	1	Stimulus/S  1	1	1728262	1728270	27	5	30	pips_40_500-8000.hdf5	both	none
173.8929	1	Stimulus/S  1	1	1738929	1738937	28	0	20	pips_40_500-8000.hdf5	both	none
174.9383	1	Stimulus/S  1	1	1749383	1749391	28	1	40	pips_40_500-8000.hdf5	both	none
176.0049	1	Stimulus/S  1	1	1760049	1760057	28	2	60	pips_40_500-8000.hdf5	both	none
177.0609	1	Stimulus/S  1	1	1770609	1770617	28	3	70	pips_40_500-8000.hdf5	both	none
178.1063	1	Stimulus/S  1	1	1781063	1781071	28	4	50	pips_40_500-8000.hdf5	both	none
179.1623	1	Stimulus/S  1	1	1791623	1791631	28	5	30	pips_40_500-8000.hdf5	both	none
180.2076	1	Stimulus/S  1	1	1802076	1802084	29	0	20	pips_40_500-8000.hdf5	both	none
181.253	1	Stimulus/S  1	1	1812530	1812538	29	1	40	pips_40_500-8000.hdf5	both	none
182.309	1	Stimulus/S  1	1	1823090	1823098	29	2	60	pips_40_500-8000.hdf5	both	none
183.3543	1	Stimulus/S  1	1	1833543	1833551	29	3	70	pips_40_500-8000.hdf5	both	none
184.4103	1	Stimulus/S  1	1	1844103	1844111	29	4	50	pips_40_500-8000.hdf5	both	none
185.4557	1	Stimulus/S  1	1	1854557	1854565	29	5	30	pips_40_500-8000.hdf5	both	none
186.5117	1	Stimulus/S  1	1	1865117	1865125	30	0	20	pips_40_500-8000.hdf5	both	none
187.557	1	Stimulus/S  1	1	1875570	1875578	30	1	40	pips_40_500-8000.hdf5	both	none
188.6024	1	Stimulus/S  1	1	1886024	1886032	30	2	60	pips_40_500-8000.hdf5	both	none
189.6691	1	Stimulus/S  1	1	1896691	1896699	30	3	70	pips_40_500-8000.hdf5	both	none
190.7251	1	Stimulus/S  1	1	1907251	1907259	30	4	50	pips_40_500-8000.hdf5	both	none
191.7917	1	Stimulus/S  1	1	1917917	1917925	30	5	30	pips_40_500-8000.hdf5	both	none
192.8584	1	Stimulus/S  1	1	1928584	1928592	31	0	20	pips_40_500-8000.hdf5	both	none
193.9251	1	Stimulus/S  1	1	1939251	1939259	31	1	40	pips_40_500-8000.hdf5	both	none
194.9704	1	Stimulus/S  1	1	1949704	1949712	31	2	60	pips_40_500-8000.hdf5	both	none
196.0371	1	Stimulus/S  1	1	1960371	1960379	31	3	70	pips_40_500-8000.hdf5	both	none
197.0931	1	Stimulus/S  1	1	1970931	1970939	31	4	50	pips_40_500-8000.hdf5	both	none
198.1598	1	Stimulus/S  1	1	1981598	1981606	31	5	30	pips_40_500-8000.hdf5	both	none
199.2265	1	Stimulus/S  1	1	1992265	1992273	32	0	20	pips_40_500-8000.hdf5	both	none
200.2718	1	Stimulus/S  1	1	2002718	2002726	32	1	40	pips_40_500-8000.hdf5	both	none
201.3278	1	Stimulus/S  1	1	2013278	2013286	32	2	60	pips_40_500-8000.hdf5	both	none
202.3732	1	Stimulus/S  1	1	2023732	2023740	32	3	70	pips_40_500-8000.hdf5	both	none
203.4185	1	Stimulus/S  1	1	2034185	2034193	32	4	50	pips_40_500-8000.hdf5	both	none
204.4745	1	Stimulus/S  1	1	2044745	2044753	32	5	30	pips_40_500-8000.hdf5	both	none
205.5199	1	Stimulus/S  1	1	2055199	2055207	33	0	20	pips_40_500-8000.hdf5	both	none
206.5759	1	Stimulus/S  1	1	2065759	2065767	33	1	40	pips_40_500-8000.hdf5	both	none
207.6212	1	Stimulus/S  1	1	2076212	2076220	33	2	60	pips_40_500-8000.hdf5	both	none
208.6772	1	Stimulus/S  1	1	2086772	2086780	33	3	70	pips_40_500-8000.hdf5	both	none
209.7226	1	Stimulus/S  1	1	2097226	2097234	33	4	50	pips_40_500-8000.hdf5	both	none
210.7893	1	Stimulus/S  1	1	2107893	2107901	33	5	30	pips_40_500-8000.hdf5	both	none
211.8453	1	Stimulus/S  1	1	2118453	2118461	34	0	20	pips_40_500-8000.hdf5	both	none
212.9119	1	Stimulus/S  1	1	2129119	2129127	34	1	40	pips_40_500-8000.hdf5	both	none
213.9573	1	Stimulus/S  1	1	2139573	2139581	34	2	60	pips_40_500-8000.hdf5	both	none
215.024	1	Stimulus/S  1	1	2150240	2150248	34	3	70	pips_40_500-8000.hdf5	both	none
216.0906	1	Stimulus/S  1	1	2160906	2160914	34	4	50	pips_40_500-8000.hdf5	both	none
217.1573	1	Stimulus/S  1	1	2171573	2171581	34	5	30	pips_40_500-8000.hdf5	both	none
218.2027	1	Stimulus/S  1	1	2182027	2182035	35	0	20	pips_40_500-8000.hdf5	both	none
219.2693	1	Stimulus/S  1	1	2192693	2192701	35	1	40	pips_40_500-8000.hdf5	both	none
220.3253	1	Stimulus/S  1	1	2203253	2203261	35	2	60	pips_40_500-8000.hdf5	both	none
221.392	1	Stimulus/S  1	1	2213920	2213928	35	3	70	pips_40_500-8000.hdf5	both	none
222.4374	1	Stimulus/S  1	1	2224374	2224382	35	4	50	pips_40_500-8000.hdf5	both	none
223.4934	1	Stimulus/S  1	1	2234934	2234942	35	5	30	pips_40_500-8000.hdf5	both	none
224.5387	1	Stimulus/S  1	1	2245387	2245395	36	0	20	pips_40_500-8000.hdf5	both	none
225.5947	1	Stimulus/S  1	1	2255947	2255955	36	1	40	pips_40_500-8000.hdf5	both	none
226.6401	1	Stimulus/S  1	1	2266401	2266409	36	2	60	pips_40_500-8000.hdf5	both	none
227.6854	1	Stimulus/S  1	1	2276854	2276862	36	3	70	pips_40_500-8000.hdf5	both	none
228.7414	1	Stimulus/S  1	1	2287414	2287422	36	4	50	pips_40_500-8000.hdf5	both	none
229.8081	1	Stimulus/S  1	1	2298081	2298089	36	5	30	pips_40_500-8000.hdf5	both	none
230.8534	1	Stimulus/S  1	1	2308534	2308542	37	0	20	pips_40_500-8000.hdf5	both	none
231.9201	1	Stimulus/S  1	1	2319201	2319209	37	1	40	pips_40_500-8000.hdf5	both	none
232.9761	1	Stimulus/S  1	1	2329761	2329769	37	2	60	pips_40_500-8000.hdf5	both	none
234.0428	1	Stimulus/S  1	1	2340428	2340436	37	3	70	pips_40_500-8000.hdf5	both	none
235.1095	1	Stimulus/S  1	1	2351095	2351103	37	4	50	pips_40_500-8000.hdf5	both	none
236.1762	1	Stimulus/S  1	1	2361762	2361770	37	5	30	pips_40_500-8000.hdf5	both	none
237.2215	1	Stimulus/S  1	1	2372215	2372223	38	0	20	pips_40_500-8000.hdf5	both	none
238.2882	1	Stimulus/S  1	1	2382882	2382890	38	1	40	pips_40_500-8000.hdf5	both	none
239.3442	1	Stimulus/S  1	1	2393442	2393450	38	2	60	pips_40_500-8000.hdf5	both	none
240.4109	1	Stimulus/S  1	1	2404109	2404117	38	3	70	pips_40_500-8000.hdf5	both	none
241.4562	1	Stimulus/S  1	1	2414562	2414570	38	4	50	pips_40_500-8000.hdf5	both	none
242.5122	1	Stimulus/S  1	1	2425122	2425130	38	5	30	pips_40_500-8000.hdf5	both	none
243.5576	1	Stimulus/S  1	1	2435576	2435584	39	0	20	pips_40_500-8000.hdf5	both	none
244.6029	1	Stimulus/S  1	1	2446029	2446037	39	1	40	pips_40_500-8000.hdf5	both	none
245.6589	1	Stimulus/S  1	1	2456589	2456597	39	2	60	pips_40_500-8000.hdf5	both	none
246.7043	1	Stimulus/S  1	1	2467043	2467051	39	3	70	pips_40_500-8000.hdf5	both	none
247.7603	1	Stimulus/S  1	1	2477603	2477611	39	4	50	pips_40_500-8000.hdf5	both	none
248.8056	1	Stimulus/S  1	1	2488056	2488064	39	5	30	pips_40_500-8000.hdf5	both	none
249.8616	1	Stimulus/S  1	1	2498616	2498624	40	0	20	pips_40_500-8000.hdf5	both	none
250.907	1	Stimulus/S  1	1	2509070	2509078	40	1	40	pips_40_500-8000.hdf5	both	none
251.9736	1	Stimulus/S  1	1	2519736	2519744	40	2	60	pips_40_500-8000.hdf5	both	none
253.0403	1	Stimulus/S  1	1	2530403	2530411	40	3	70	pips_40_500-8000.hdf5	both	none
