onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
3.4968	1	Stimulus/S  1	1	34968	34976	0	0	20	pips_l40_r400_500-8000.hdf5	right	left
4.5635	1	Stimulus/S  1	1	45635	45643	0	1	40	pips_l40_r400_500-8000.hdf5	right	left
5.6301	1	Stimulus/S  1	1	56301	56309	0	2	60	pips_l40_r400_500-8000.hdf5	right	left
6.6755	1	Stimulus/S  1	1	66755	66763	0	3	70	pips_l40_r400_500-8000.hdf5	right	left
7.7208	1	Stimulus/S  1	1	77208	77216	0	4	50	pips_l40_r400_500-8000.hdf5	right	left
8.7768	1	Stimulus/S  1	1	87768	87776	0	5	30	pips_l40_r400_500-8000.hdf5	right	left
9.8222	1	Stimulus/S  1	1	98222	98230	1	0	20	pips_l40_r400_500-8000.hdf5	right	left
10.8782	1	Stimulus/S  1	1	108782	108790	1	1	40	pips_l40_r400_500-8000.hdf5	right	left
11.9235	1	Stimulus/S  1	1	119235	119243	1	2	60	pips_l40_r400_500-8000.hdf5	right	left
12.9795	1	Stimulus/S  1	1	129795	129803	1	3	70	pips_l40_r400_500-8000.hdf5	right	left
14.0249	1	Stimulus/S  1	1	140249	140257	1	4	50	pips_l40_r400_500-8000.hdf5	right	left
15.0809	1	Stimulus/S  1	1	150809	150817	1	5	30	pips_l40_r400_500-8000.hdf5	right	left
16.1262	1	Stimulus/S  1	1	161262	161270	2	0	20	pips_l40_r400_500-8000.hdf5	right	left
17.1929	1	Stimulus/S  1	1	171929	171937	2	1	40	pips_l40_r400_500-8000.hdf5	right	left
18.2383	1	Stimulus/S  1	1	182383	182391	2	2	60	pips_l40_r400_500-8000.hdf5	right	left
19.3049	1	Stimulus/S  1	1	193049	193057	2	3	70	pips_l40_r400_500-8000.hdf5	right	left
20.3716	1	Stimulus/S  1	1	203716	203724	2	4	50	pips_l40_r400_500-8000.hdf5	right	left
21.4383	1	Stimulus/S  1	1	214383	214391	2	5	30	pips_l40_r400_500-8000.hdf5	right	left
22.505	1	Stimulus/S  1	1	225050	225058	3	0	20	pips_l40_r400_500-8000.hdf5	right	left
23.5716	1	Stimulus/S  1	1	235716	235724	3	1	40	pips_l40_r400_500-8000.hdf5	right	left
24.6383	1	Stimulus/S  1	1	246383	246391	3	2	60	pips_l40_r400_500-8000.hdf5	right	left
25.6943	1	Stimulus/S  1	1	256943	256951	3	3	70	pips_l40_r400_500-8000.hdf5	right	left
26.761	1	Stimulus/S  1	1	267610	267618	3	4	50	pips_l40_r400_500-8000.hdf5	right	left
27.8064	1	Stimulus/S  1	1	278064	278072	3	5	30	pips_l40_r400_500-8000.hdf5	right	left
28.873	1	Stimulus/S  1	1	288730	288738	4	0	20	pips_l40_r400_500-8000.hdf5	right	left
29.929	1	Stimulus/S  1	1	299290	299298	4	1	40	pips_l40_r400_500-8000.hdf5	right	left
30.9744	1	Stimulus/S  1	1	309744	309752	4	2	60	pips_l40_r400_500-8000.hdf5	right	left
32.0304	1	Stimulus/S  1	1	320304	320312	4	3	70	pips_l40_r400_500-8000.hdf5	right	left
33.0757	1	Stimulus/S  1	1	330757	330765	4	4	50	pips_l40_r400_500-8000.hdf5	right	left
34.1211	1	Stimulus/S  1	1	341211	341219	4	5	30	pips_l40_r400_500-8000.hdf5	right	left
35.1984	1	Stimulus/S  1	1	351984	351992	5	0	20	pips_l40_r400_500-8000.hdf5	right	left
36.2438	1	Stimulus/S  1	1	362438	362446	5	1	40	pips_l40_r400_500-8000.hdf5	right	left
37.3105	1	Stimulus/S  1	1	373105	373113	5	2	60	pips_l40_r400_500-8000.hdf5	right	left
38.3558	1	Stimulus/S  1	1	383558	383566	5	3	70	pips_l40_r400_500-8000.hdf5	right	left
39.4225	1	Stimulus/S  1	1	394225	394233	5	4	50	pips_l40_r400_500-8000.hdf5	right	left
40.4892	1	Stimulus/S  1	1	404892	404900	5	5	30	pips_l40_r400_500-8000.hdf5	right	left
41.5558	1	Stimulus/S  1	1	415558	415566	6	0	20	pips_l40_r400_500-8000.hdf5	right	left
42.6225	1	Stimulus/S  1	1	426225	426233	6	1	40	pips_l40_r400_500-8000.hdf5	right	left
43.6892	1	Stimulus/S  1	1	436892	436900	6	2	60	pips_l40_r400_500-8000.hdf5	right	left
44.7559	1	Stimulus/S  1	1	447559	447567	6	3	70	pips_l40_r400_500-8000.hdf5	right	left
45.8119	1	Stimulus/S  1	1	458119	458127	6	4	50	pips_l40_r400_500-8000.hdf5	right	left
46.8786	1	Stimulus/S  1	1	468786	468794	6	5	30	pips_l40_r400_500-8000.hdf5	right	left
47.9239	1	Stimulus/S  1	1	479239	479247	7	0	20	pips_l40_r400_500-8000.hdf5	right	left
48.9906	1	Stimulus/S  1	1	489906	489914	7	1	40	pips_l40_r400_500-8000.hdf5	right	left
50.0466	1	Stimulus/S  1	1	500466	500474	7	2	60	pips_l40_r400_500-8000.hdf5	right	left
51.0919	1	Stimulus/S  1	1	510919	510927	7	3	70	pips_l40_r400_500-8000.hdf5	right	left
52.1479	1	Stimulus/S  1	1	521479	521487	7	4	50	pips_l40_r400_500-8000.hdf5	right	left
53.1933	1	Stimulus/S  1	1	531933	531941	7	5	30	pips_l40_r400_500-8000.hdf5	right	left
54.2386	1	Stimulus/S  1	1	542386	542394	8	0	20	pips_l40_r400_500-8000.hdf5	right	left
55.3053	1	Stimulus/S  1	1	553053	553061	8	1	40	pips_l40_r400_500-8000.hdf5	right	left
56.3613	1	Stimulus/S  1	1	563613	563621	8	2	60	pips_l40_r400_500-8000.hdf5	right	left
57.428	1	Stimulus/S  1	1	574280	574288	8	3	70	pips_l40_r400_500-8000.hdf5	right	left
58.4733	1	Stimulus/S  1	1	584733	584741	8	4	50	pips_l40_r400_500-8000.hdf5	right	left
59.54	1	Stimulus/S  1	1	595400	595408	8	5	30	pips_l40_r400_500-8000.hdf5	right	left
60.6067	1	Stimulus/S  1	1	606067	606075	9	0	20	pips_l40_r400_500-8000.hdf5	right	left
61.6734	1	Stimulus/S  1	1	616734	616742	9	1	40	pips_l40_r400_500-8000.hdf5	right	left
62.74	1	Stimulus/S  1	1	627400	627408	9	2	60	pips_l40_r400_500-8000.hdf5	right	left
63.8067	1	Stimulus/S  1	1	638067	638075	9	3	70	pips_l40_r400_500-8000.hdf5	right	left
64.8734	1	Stimulus/S  1	1	648734	648742	9	4	50	pips_l40_r400_500-8000.hdf5	right	left
65.9294	1	Stimulus/S  1	1	659294	659302	9	5	30	pips_l40_r400_500-8000.hdf5	right	left
66.9961	1	Stimulus/S  1	1	669961	669969	10	0	20	pips_l40_r400_500-8000.hdf5	right	left
68.0414	1	Stimulus/S  1	1	680414	680422	10	1	40	pips_l40_r400_500-8000.hdf5	right	left
69.1081	1	Stimulus/S  1	1	691081	691089	10	2	60	pips_l40_r400_500-8000.hdf5	right	left
70.1641	1	Stimulus/S  1	1	701641	701649	10	3	70	pips_l40_r400_500-8000.hdf5	right	left
71.2095	1	Stimulus/S  1	1	712095	712103	10	4	50	pips_l40_r400_500-8000.hdf5	right	left
72.2548	1	Stimulus/S  1	1	722548	722556	10	5	30	pips_l40_r400_500-8000.hdf5	right	left
73.3108	1	Stimulus/S  1	1	733108	733116	11	0	20	pips_l40_r400_500-8000.hdf5	right	left
74.3562	1	Stimulus/S  1	1	743562	743570	11	1	40	pips_l40_r400_500-8000.hdf5	right	left
75.4228	1	Stimulus/S  1	1	754228	754236	11	2	60	pips_l40_r400_500-8000.hdf5	right	left
76.4789	1	Stimulus/S  1	1	764789	764797	11	3	70	pips_l40_r400_500-8000.hdf5	right	left
77.5455	1	Stimulus/S  1	1	775455	775463	11	4	50	pips_l40_r400_500-8000.hdf5	right	left
78.5909	1	Stimulus/S  1	1	785909	785917	11	5	30	pips_l40_r400_500-8000.hdf5	right	left
79.6576	1	Stimulus/S  1	1	796576	796584	12	0	20	pips_l40_r400_500-8000.hdf5	right	left
80.7242	1	Stimulus/S  1	1	807242	807250	12	1	40	pips_l40_r400_500-8000.hdf5	right	left
81.7909	1	Stimulus/S  1	1	817909	817917	12	2	60	pips_l40_r400_500-8000.hdf5	right	left
82.8576	1	Stimulus/S  1	1	828576	828584	12	3	70	pips_l40_r400_500-8000.hdf5	right	left
83.9243	1	Stimulus/S  1	1	839243	839251	12	4	50	pips_l40_r400_500-8000.hdf5	right	left
84.9909	1	Stimulus/S  1	1	849909	849917	12	5	30	pips_l40_r400_500-8000.hdf5	right	left
86.047	1	Stimulus/S  1	1	860470	860478	13	0	20	pips_l40_r400_500-8000.hdf5	right	left
87.1136	1	Stimulus/S  1	1	871136	871144	13	1	40	pips_l40_r400_500-8000.hdf5	right	left
88.159	1	Stimulus/S  1	1	881590	881598	13	2	60	pips_l40_r400_500-8000.hdf5	right	left
89.215	1	Stimulus/S  1	1	892150	892158	13	3	70	pips_l40_r400_500-8000.hdf5	right	left
90.2603	1	Stimulus/S  1	1	902603	902611	13	4	50	pips_l40_r400_500-8000.hdf5	right	left
91.3057	1	Stimulus/S  1	1	913057	913065	13	5	30	pips_l40_r400_500-8000.hdf5	right	left
92.3617	1	Stimulus/S  1	1	923617	923625	14	0	20	pips_l40_r400_500-8000.hdf5	right	left
93.407	1	Stimulus/S  1	1	934070	934078	14	1	40	pips_l40_r400_500-8000.hdf5	right	left
94.463	1	Stimulus/S  1	1	944630	944638	14	2	60	pips_l40_r400_500-8000.hdf5	right	left
95.5084	1	Stimulus/S  1	1	955084	955092	14	3	70	pips_l40_r400_500-8000.hdf5	right	left
96.5644	1	Stimulus/S  1	1	965644	965652	14	4	50	pips_l40_r400_500-8000.hdf5	right	left
97.6097	1	Stimulus/S  1	1	976097	976105	14	5	30	pips_l40_r400_500-8000.hdf5	right	left
98.6764	1	Stimulus/S  1	1	986764	986772	15	0	20	pips_l40_r400_500-8000.hdf5	right	left
99.7431	1	Stimulus/S  1	1	997431	997439	15	1	40	pips_l40_r400_500-8000.hdf5	right	left
100.8098	1	Stimulus/S  1	1	1008098	1008106	15	2	60	pips_l40_r400_500-8000.hdf5	right	left
101.8764	1	Stimulus/S  1	1	1018764	1018772	15	3	70	pips_l40_r400_500-8000.hdf5	right	left
102.9431	1	Stimulus/S  1	1	1029431	1029439	15	4	50	pips_l40_r400_500-8000.hdf5	right	left
104.0098	1	Stimulus/S  1	1	1040098	1040106	15	5	30	pips_l40_r400_500-8000.hdf5	right	left
105.0658	1	Stimulus/S  1	1	1050658	1050666	16	0	20	pips_l40_r400_500-8000.hdf5	right	left
106.1325	1	Stimulus/S  1	1	1061325	1061333	16	1	40	pips_l40_r400_500-8000.hdf5	right	left
107.1778	1	Stimulus/S  1	1	1071778	1071786	16	2	60	pips_l40_r400_500-8000.hdf5	right	left
108.2445	1	Stimulus/S  1	1	1082445	1082453	16	3	70	pips_l40_r400_500-8000.hdf5	right	left
109.2899	1	Stimulus/S  1	1	1092899	1092907	16	4	50	pips_l40_r400_500-8000.hdf5	right	left
110.3459	1	Stimulus/S  1	1	1103459	1103467	16	5	30	pips_l40_r400_500-8000.hdf5	right	left
111.3912	1	Stimulus/S  1	1	1113912	1113920	17	0	20	pips_l40_r400_500-8000.hdf5	right	left
112.4472	1	Stimulus/S  1	1	1124472	1124480	17	1	40	pips_l40_r400_500-8000.hdf5	right	left
113.4926	1	Stimulus/S  1	1	1134926	1134934	17	2	60	pips_l40_r400_500-8000.hdf5	right	left
114.5592	1	Stimulus/S  1	1	1145592	1145600	17	3	70	pips_l40_r400_500-8000.hdf5	right	left
115.6153	1	Stimulus/S  1	1	1156153	1156161	17	4	50	pips_l40_r400_500-8000.hdf5	right	left
116.6819	1	Stimulus/S  1	1	1166819	1166827	17	5	30	pips_l40_r400_500-8000.hdf5	right	left
117.7273	1	Stimulus/S  1	1	1177273	1177281	18	0	20	pips_l40_r400_500-8000.hdf5	right	left
118.794	1	Stimulus/S  1	1	1187940	1187948	18	1	40	pips_l40_r400_500-8000.hdf5	right	left
119.8606	1	Stimulus/S  1	1	1198606	1198614	18	2	60	pips_l40_r400_500-8000.hdf5	right	left
120.9273	1	Stimulus/S  1	1	1209273	1209281	18	3	70	pips_l40_r400_500-8000.hdf5	right	left
121.994	1	Stimulus/S  1	1	1219940	1219948	18	4	50	pips_l40_r400_500-8000.hdf5	right	left
123.0607	1	Stimulus/S  1	1	1230607	1230615	18	5	30	pips_l40_r400_500-8000.hdf5	right	left
124.1273	1	Stimulus/S  1	1	1241273	1241281	19	0	20	pips_l40_r400_500-8000.hdf5	right	left
125.1727	1	Stimulus/S  1	1	1251727	1251735	19	1	40	pips_l40_r400_500-8000.hdf5	right	left
126.2287	1	Stimulus/S  1	1	1262287	1262295	19	2	60	pips_l40_r400_500-8000.hdf5	right	left
127.274	1	Stimulus/S  1	1	1272740	1272748	19	3	70	pips_l40_r400_500-8000.hdf5	right	left
128.3407	1	Stimulus/S  1	1	1283407	1283415	19	4	50	pips_l40_r400_500-8000.hdf5	right	left
129.3967	1	Stimulus/S  1	1	1293967	1293975	19	5	30	pips_l40_r400_500-8000.hdf5	right	left
130.4634	1	Stimulus/S  1	1	1304634	1304642	20	0	20	pips_l40_r400_500-8000.hdf5	right	left
131.5087	1	Stimulus/S  1	1	1315087	1315095	20	1	40	pips_l40_r400_500-8000.hdf5	right	left
132.5754	1	Stimulus/S  1	1	1325754	1325762	20	2	60	pips_l40_r400_500-8000.hdf5	right	left
133.6421	1	Stimulus/S  1	1	1336421	1336429	20	3	70	pips_l40_r400_500-8000.hdf5	right	left
134.7088	1	Stimulus/S  1	1	1347088	1347096	20	4	50	pips_l40_r400_500-8000.hdf5	right	left
135.7755	1	Stimulus/S  1	1	1357755	1357763	20	5	30	pips_l40_r400_500-8000.hdf5	right	left
136.8421	1	Stimulus/S  1	1	1368421	1368429	21	0	20	pips_l40_r400_500-8000.hdf5	right	left
137.9088	1	Stimulus/S  1	1	1379088	1379096	21	1	40	pips_l40_r400_500-8000.hdf5	right	left
138.9648	1	Stimulus/S  1	1	1389648	1389656	21	2	60	pips_l40_r400_500-8000.hdf5	right	left
140.0315	1	Stimulus/S  1	1	1400315	1400323	21	3	70	pips_l40_r400_500-8000.hdf5	right	left
141.0768	1	Stimulus/S  1	1	1410768	1410776	21	4	50	pips_l40_r400_500-8000.hdf5	right	left
142.1435	1	Stimulus/S  1	1	1421435	1421443	21	5	30	pips_l40_r400_500-8000.hdf5	right	left
143.1995	1	Stimulus/S  1	1	1431995	1432003	22	0	20	pips_l40_r400_500-8000.hdf5	right	left
144.2449	1	Stimulus/S  1	1	1442449	1442457	22	1	40	pips_l40_r400_500-8000.hdf5	right	left
145.2902	1	Stimulus/S  1	1	1452902	1452910	22	2	60	pips_l40_r400_500-8000.hdf5	right	left
146.3462	1	Stimulus/S  1	1	1463462	1463470	22	3	70	pips_l40_r400_500-8000.hdf5	right	left
147.3916	1	Stimulus/S  1	1	1473916	1473924	22	4	50	pips_l40_r400_500-8000.hdf5	right	left
148.4583	1	Stimulus/S  1	1	1484583	1484591	22	5	30	pips_l40_r400_500-8000.hdf5	right	left
149.5143	1	Stimulus/S  1	1	1495143	1495151	23	0	20	pips_l40_r400_500-8000.hdf5	right	left
150.5809	1	Stimulus/S  1	1	1505809	1505817	23	1	40	pips_l40_r400_500-8000.hdf5	right	left
151.6263	1	Stimulus/S  1	1	1516263	1516271	23	2	60	pips_l40_r400_500-8000.hdf5	right	left
152.693	1	Stimulus/S  1	1	1526930	1526938	23	3	70	pips_l40_r400_500-8000.hdf5	right	left
153.7596	1	Stimulus/S  1	1	1537596	1537604	23	4	50	pips_l40_r400_500-8000.hdf5	right	left
154.8263	1	Stimulus/S  1	1	1548263	1548271	23	5	30	pips_l40_r400_500-8000.hdf5	right	left
155.893	1	Stimulus/S  1	1	1558930	1558938	24	0	20	pips_l40_r400_500-8000.hdf5	right	left
156.9597	1	Stimulus/S  1	1	1569597	1569605	24	1	40	pips_l40_r400_500-8000.hdf5	right	left
158.0264	1	Stimulus/S  1	1	1580264	1580272	24	2	60	pips_l40_r400_500-8000.hdf5	right	left
159.0824	1	Stimulus/S  1	1	1590824	1590832	24	3	70	pips_l40_r400_500-8000.hdf5	right	left
160.149	1	Stimulus/S  1	1	1601490	1601498	24	4	50	pips_l40_r400_500-8000.hdf5	right	left
161.1944	1	Stimulus/S  1	1	1611944	1611952	24	5	30	pips_l40_r400_500-8000.hdf5	right	left
162.2611	1	Stimulus/S  1	1	1622611	1622619	25	0	20	pips_l40_r400_500-8000.hdf5	right	left
163.3064	1	Stimulus/S  1	1	1633064	1633072	25	1	40	pips_l40_r400_500-8000.hdf5	right	left
164.3624	1	Stimulus/S  1	1	1643624	1643632	25	2	60	pips_l40_r400_500-8000.hdf5	right	left
165.4078	1	Stimulus/S  1	1	1654078	1654086	25	3	70	pips_l40_r400_500-8000.hdf5	right	left
166.4638	1	Stimulus/S  1	1	1664638	1664646	25	4	50	pips_l40_r400_500-8000.hdf5	right	left
167.5091	1	Stimulus/S  1	1	1675091	1675099	25	5	30	pips_l40_r400_500-8000.hdf5	right	left
168.5758	1	Stimulus/S  1	1	1685758	1685766	26	0	20	pips_l40_r400_500-8000.hdf5	right	left
169.6318	1	Stimulus/S  1	1	1696318	1696326	26	1	40	pips_l40_r400_500-8000.hdf5	right	left
170.6985	1	Stimulus/S  1	1	1706985	1706993	26	2	60	pips_l40_r400_500-8000.hdf5	right	left
171.7438	1	Stimulus/S  1	1	1717438	1717446	26	3	70	pips_l40_r400_500-8000.hdf5	right	left
172.8105	1	Stimulus/S  1	1	1728105	1728113	26	4	50	pips_l40_r400_500-8000.hdf5	right	left
173.8772	1	Stimulus/S  1	1	1738772	1738780	26	5	30	pips_l40_r400_500-8000.hdf5	right	left
174.9439	1	Stimulus/S  1	1	1749439	1749447	27	0	20	pips_l40_r400_500-8000.hdf5	right	left
176.0105	1	Stimulus/S  1	1	1760105	1760113	27	1	40	pips_l40_r400_500-8000.hdf5	right	left
177.0772	1	Stimulus/S  1	1	1770772	1770780	27	2	60	pips_l40_r400_500-8000.hdf5	right	left
178.1439	1	Stimulus/S  1	1	1781439	1781447	27	3	70	pips_l40_r400_500-8000.hdf5	right	left
179.1999	1	Stimulus/S  1	1	1791999	1792007	27	4	50	pips_l40_r400_500-8000.hdf5	right	left
180.2666	1	Stimulus/S  1	1	1802666	1802674	27	5	30	pips_l40_r400_500-8000.hdf5	right	left
181.3119	1	Stimulus/S  1	1	1813119	1813127	28	0	20	pips_l40_r400_500-8000.hdf5	right	left
182.3786	1	Stimulus/S  1	1	1823786	1823794	28	1	40	pips_l40_r400_500-8000.hdf5	right	left
183.4239	1	Stimulus/S  1	1	1834239	1834247	28	2	60	pips_l40_r400_500-8000.hdf5	right	left
184.48	1	Stimulus/S  1	1	1844800	1844808	28	3	70	pips_l40_r400_500-8000.hdf5	right	left
185.5253	1	Stimulus/S  1	1	1855253	1855261	28	4	50	pips_l40_r400_500-8000.hdf5	right	left
186.5813	1	Stimulus/S  1	1	1865813	1865821	28	5	30	pips_l40_r400_500-8000.hdf5	right	left
187.6267	1	Stimulus/S  1	1	1876267	1876275	29	0	20	pips_l40_r400_500-8000.hdf5	right	left
188.6933	1	Stimulus/S  1	1	1886933	1886941	29	1	40	pips_l40_r400_500-8000.hdf5	right	left
189.7493	1	Stimulus/S  1	1	1897493	1897501	29	2	60	pips_l40_r400_500-8000.hdf5	right	left
190.816	1	Stimulus/S  1	1	1908160	1908168	29	3	70	pips_l40_r400_500-8000.hdf5	right	left
191.8614	1	Stimulus/S  1	1	1918614	1918622	29	4	50	pips_l40_r400_500-8000.hdf5	right	left
192.928	1	Stimulus/S  1	1	1929280	1929288	29	5	30	pips_l40_r400_500-8000.hdf5	right	left
193.9947	1	Stimulus/S  1	1	1939947	1939955	30	0	20	pips_l40_r400_500-8000.hdf5	right	left
195.0614	1	Stimulus/S  1	1	1950614	1950622	30	1	40	pips_l40_r400_500-8000.hdf5	right	left
196.1281	1	Stimulus/S  1	1	1961281	1961289	30	2	60	pips_l40_r400_500-8000.hdf5	right	left
197.1948	1	Stimulus/S  1	1	1971948	1971956	30	3	70	pips_l40_r400_500-8000.hdf5	right	left
198.2614	1	Stimulus/S  1	1	1982614	1982622	30	4	50	pips_l40_r400_500-8000.hdf5	right	left
199.3174	1	Stimulus/S  1	1	1993174	1993182	30	5	30	pips_l40_r400_500-8000.hdf5	right	left
200.3841	1	Stimulus/S  1	1	2003841	2003849	31	0	20	pips_l40_r400_500-8000.hdf5	right	left
201.4295	1	Stimulus/S  1	1	2014295	2014303	31	1	40	pips_l40_r400_500-8000.hdf5	right	left
202.4748	1	Stimulus/S  1	1	2024748	2024756	31	2	60	pips_l40_r400_500-8000.hdf5	right	left
203.5308	1	Stimulus/S  1	1	2035308	2035316	31	3	70	pips_l40_r400_500-8000.hdf5	right	left
204.5762	1	Stimulus/S  1	1	2045762	2045770	31	4	50	pips_l40_r400_500-8000.hdf5	right	left
205.6322	1	Stimulus/S  1	1	2056322	2056330	31	5	30	pips_l40_r400_500-8000.hdf5	right	left
206.6775	1	Stimulus/S  1	1	2066775	2066783	32	0	20	pips_l40_r400_500-8000.hdf5	right	left
207.7335	1	Stimulus/S  1	1	2077335	2077343	32	1	40	pips_l40_r400_500-8000.hdf5	right	left
208.7789	1	Stimulus/S  1	1	2087789	2087797	32	2	60	pips_l40_r400_500-8000.hdf5	right	left
209.8242	1	Stimulus/S  1	1	2098242	2098250	32	3	70	pips_l40_r400_500-8000.hdf5	right	left
210.8802	1	Stimulus/S  1	1	2108802	2108810	32	4	50	pips_l40_r400_500-8000.hdf5	right	left
211.9469	1	Stimulus/S  1	1	2119469	2119477	32	5	30	pips_l40_r400_500-8000.hdf5	right	left
213.0136	1	Stimulus/S  1	1	2130136	2130144	33	0	20	pips_l40_r400_500-8000.hdf5	right	left
214.0803	1	Stimulus/S  1	1	2140803	2140811	33	1	40	pips_l40_r400_500-8000.hdf5	right	left
215.1469	1	Stimulus/S  1	1	2151469	2151477	33	2	60	pips_l40_r400_500-8000.hdf5	right	left
216.2136	1	Stimulus/S  1	1	2162136	2162144	33	3	70	pips_l40_r400_500-8000.hdf5	right	left
217.2803	1	Stimulus/S  1	1	2172803	2172811	33	4	50	pips_l40_r400_500-8000.hdf5	right	left
218.3256	1	Stimulus/S  1	1	2183256	2183264	33	5	30	pips_l40_r400_500-8000.hdf5	right	left
219.3923	1	Stimulus/S  1	1	2193923	2193931	34	0	20	pips_l40_r400_500-8000.hdf5	right	left
220.4483	1	Stimulus/S  1	1	2204483	2204491	34	1	40	pips_l40_r400_500-8000.hdf5	right	left
221.515	1	Stimulus/S  1	1	2215150	2215158	34	2	60	pips_l40_r400_500-8000.hdf5	right	left
222.5603	1	Stimulus/S  1	1	2225603	2225611	34	3	70	pips_l40_r400_500-8000.hdf5	right	left
223.6164	1	Stimulus/S  1	1	2236164	2236172	34	4	50	pips_l40_r400_500-8000.hdf5	right	left
224.6617	1	Stimulus/S  1	1	2246617	2246625	34	5	30	pips_l40_r400_500-8000.hdf5	right	left
225.7177	1	Stimulus/S  1	1	2257177	2257185	35	0	20	pips_l40_r400_500-8000.hdf5	right	left
226.763	1	Stimulus/S  1	1	2267630	2267638	35	1	40	pips_l40_r400_500-8000.hdf5	right	left
227.8084	1	Stimulus/S  1	1	2278084	2278092	35	2	60	pips_l40_r400_500-8000.hdf5	right	left
