onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
1.012	1	Stimulus/S  1	1	10120	10128	3	0	20	pips_l400_r40_500-8000.hdf5	left	right
2.0681	1	Stimulus/S  1	1	20681	20689	3	1	40	pips_l400_r40_500-8000.hdf5	left	right
3.1134	1	Stimulus/S  1	1	31134	31142	3	2	60	pips_l400_r40_500-8000.hdf5	left	right
4.1801	1	Stimulus/S  1	1	41801	41809	3	3	70	pips_l400_r40_500-8000.hdf5	left	right
5.2361	1	Stimulus/S  1	1	52361	52369	3	4	50	pips_l400_r40_500-8000.hdf5	left	right
6.2814	1	Stimulus/S  1	1	62814	62822	3	5	30	pips_l400_r40_500-8000.hdf5	left	right
7.3481	1	Stimulus/S  1	1	73481	73489	4	0	20	pips_l400_r40_500-8000.hdf5	left	right
8.3934	1	Stimulus/S  1	1	83934	83942	4	1	40	pips_l400_r40_500-8000.hdf5	left	right
9.4495	1	Stimulus/S  1	1	94495	94503	4	2	60	pips_l400_r40_500-8000.hdf5	left	right
10.4948	1	Stimulus/S  1	1	104948	104956	4	3	70	pips_l400_r40_500-8000.hdf5	left	right
11.5615	1	Stimulus/S  1	1	115615	115623	4	4	50	pips_l400_r40_500-8000.hdf5	left	right
12.6175	1	Stimulus/S  1	1	126175	126183	4	5	30	pips_l400_r40_500-8000.hdf5	left	right
13.6628	1	Stimulus/S  1	1	136628	136636	5	0	20	pips_l400_r40_500-8000.hdf5	left	right
14.7188	1	Stimulus/S  1	1	147188	147196	5	1	40	pips_l400_r40_500-8000.hdf5	left	right
15.7642	1	Stimulus/S  1	1	157642	157650	5	2	60	pips_l400_r40_500-8000.hdf5	left	right
16.8309	1	Stimulus/S  1	1	168309	168317	5	3	70	pips_l400_r40_500-8000.hdf5	left	right
17.8762	1	Stimulus/S  1	1	178762	178770	5	4	50	pips_l400_r40_500-8000.hdf5	left	right
18.9535	1	Stimulus/S  1	1	189535	189543	5	5	30	pips_l400_r40_500-8000.hdf5	left	right
19.9989	1	Stimulus/S  1	1	199989	199997	6	0	20	pips_l400_r40_500-8000.hdf5	left	right
21.0656	1	Stimulus/S  1	1	210656	210664	6	1	40	pips_l400_r40_500-8000.hdf5	left	right
