onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
26.3207	1	Stimulus/S  1	1	263207	263215	0	0	20	pips_40_500-8000.hdf5	both	none
27.3661	1	Stimulus/S  1	1	273661	273669	0	1	40	pips_40_500-8000.hdf5	both	none
28.4221	1	Stimulus/S  1	1	284221	284229	0	2	60	pips_40_500-8000.hdf5	both	none
29.4674	1	Stimulus/S  1	1	294674	294682	0	3	70	pips_40_500-8000.hdf5	both	none
30.5128	1	Stimulus/S  1	1	305128	305136	0	4	50	pips_40_500-8000.hdf5	both	none
31.5688	1	Stimulus/S  1	1	315688	315696	0	5	30	pips_40_500-8000.hdf5	both	none
32.6354	1	Stimulus/S  1	1	326354	326362	1	0	20	pips_40_500-8000.hdf5	both	none
33.6808	1	Stimulus/S  1	1	336808	336816	1	1	40	pips_40_500-8000.hdf5	both	none
34.7475	1	Stimulus/S  1	1	347475	347483	1	2	60	pips_40_500-8000.hdf5	both	none
35.8035	1	Stimulus/S  1	1	358035	358043	1	3	70	pips_40_500-8000.hdf5	both	none
36.8702	1	Stimulus/S  1	1	368702	368710	1	4	50	pips_40_500-8000.hdf5	both	none
37.9368	1	Stimulus/S  1	1	379368	379376	1	5	30	pips_40_500-8000.hdf5	both	none
39.0035	1	Stimulus/S  1	1	390035	390043	2	0	20	pips_40_500-8000.hdf5	both	none
40.0702	1	Stimulus/S  1	1	400702	400710	2	1	40	pips_40_500-8000.hdf5	both	none
41.1369	1	Stimulus/S  1	1	411369	411377	2	2	60	pips_40_500-8000.hdf5	both	none
42.2035	1	Stimulus/S  1	1	422035	422043	2	3	70	pips_40_500-8000.hdf5	both	none
43.2702	1	Stimulus/S  1	1	432702	432710	2	4	50	pips_40_500-8000.hdf5	both	none
44.3369	1	Stimulus/S  1	1	443369	443377	2	5	30	pips_40_500-8000.hdf5	both	none
45.3822	1	Stimulus/S  1	1	453822	453830	3	0	20	pips_40_500-8000.hdf5	both	none
46.4382	1	Stimulus/S  1	1	464382	464390	3	1	40	pips_40_500-8000.hdf5	both	none
47.4836	1	Stimulus/S  1	1	474836	474844	3	2	60	pips_40_500-8000.hdf5	both	none
48.5289	1	Stimulus/S  1	1	485289	485297	3	3	70	pips_40_500-8000.hdf5	both	none
49.5849	1	Stimulus/S  1	1	495849	495857	3	4	50	pips_40_500-8000.hdf5	both	none
50.6516	1	Stimulus/S  1	1	506516	506524	3	5	30	pips_40_500-8000.hdf5	both	none
51.697	1	Stimulus/S  1	1	516970	516978	4	0	20	pips_40_500-8000.hdf5	both	none
52.7636	1	Stimulus/S  1	1	527636	527644	4	1	40	pips_40_500-8000.hdf5	both	none
53.8197	1	Stimulus/S  1	1	538197	538205	4	2	60	pips_40_500-8000.hdf5	both	none
54.8863	1	Stimulus/S  1	1	548863	548871	4	3	70	pips_40_500-8000.hdf5	both	none
55.953	1	Stimulus/S  1	1	559530	559538	4	4	50	pips_40_500-8000.hdf5	both	none
57.0197	1	Stimulus/S  1	1	570197	570205	4	5	30	pips_40_500-8000.hdf5	both	none
58.0864	1	Stimulus/S  1	1	580864	580872	5	0	20	pips_40_500-8000.hdf5	both	none
59.153	1	Stimulus/S  1	1	591530	591538	5	1	40	pips_40_500-8000.hdf5	both	none
60.2197	1	Stimulus/S  1	1	602197	602205	5	2	60	pips_40_500-8000.hdf5	both	none
61.2651	1	Stimulus/S  1	1	612651	612659	5	3	70	pips_40_500-8000.hdf5	both	none
62.3317	1	Stimulus/S  1	1	623317	623325	5	4	50	pips_40_500-8000.hdf5	both	none
63.3877	1	Stimulus/S  1	1	633877	633885	5	5	30	pips_40_500-8000.hdf5	both	none
64.4544	1	Stimulus/S  1	1	644544	644552	6	0	20	pips_40_500-8000.hdf5	both	none
65.4998	1	Stimulus/S  1	1	654998	655006	6	1	40	pips_40_500-8000.hdf5	both	none
66.5558	1	Stimulus/S  1	1	665558	665566	6	2	60	pips_40_500-8000.hdf5	both	none
67.6011	1	Stimulus/S  1	1	676011	676019	6	3	70	pips_40_500-8000.hdf5	both	none
68.6678	1	Stimulus/S  1	1	686678	686686	6	4	50	pips_40_500-8000.hdf5	both	none
69.7131	1	Stimulus/S  1	1	697131	697139	6	5	30	pips_40_500-8000.hdf5	both	none
70.7798	1	Stimulus/S  1	1	707798	707806	7	0	20	pips_40_500-8000.hdf5	both	none
71.8358	1	Stimulus/S  1	1	718358	718366	7	1	40	pips_40_500-8000.hdf5	both	none
72.9025	1	Stimulus/S  1	1	729025	729033	7	2	60	pips_40_500-8000.hdf5	both	none
73.9692	1	Stimulus/S  1	1	739692	739700	7	3	70	pips_40_500-8000.hdf5	both	none
75.0359	1	Stimulus/S  1	1	750359	750367	7	4	50	pips_40_500-8000.hdf5	both	none
76.1025	1	Stimulus/S  1	1	761025	761033	7	5	30	pips_40_500-8000.hdf5	both	none
77.1692	1	Stimulus/S  1	1	771692	771700	8	0	20	pips_40_500-8000.hdf5	both	none
78.2359	1	Stimulus/S  1	1	782359	782367	8	1	40	pips_40_500-8000.hdf5	both	none
79.2812	1	Stimulus/S  1	1	792812	792820	8	2	60	pips_40_500-8000.hdf5	both	none
80.3479	1	Stimulus/S  1	1	803479	803487	8	3	70	pips_40_500-8000.hdf5	both	none
81.4039	1	Stimulus/S  1	1	814039	814047	8	4	50	pips_40_500-8000.hdf5	both	none
