onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
10.2882	1	Stimulus/S  1	1	102882	102890	0	0	20	pips_40_500-8000.hdf5	both	none
11.3336	1	Stimulus/S  1	1	113336	113344	0	1	40	pips_40_500-8000.hdf5	both	none
12.3896	1	Stimulus/S  1	1	123896	123904	0	2	60	pips_40_500-8000.hdf5	both	none
13.4563	1	Stimulus/S  1	1	134563	134571	0	3	70	pips_40_500-8000.hdf5	both	none
14.5016	1	Stimulus/S  1	1	145016	145024	0	4	50	pips_40_500-8000.hdf5	both	none
15.5683	1	Stimulus/S  1	1	155683	155691	0	5	30	pips_40_500-8000.hdf5	both	none
16.635	1	Stimulus/S  1	1	166350	166358	1	0	20	pips_40_500-8000.hdf5	both	none
17.7017	1	Stimulus/S  1	1	177017	177025	1	1	40	pips_40_500-8000.hdf5	both	none
18.7683	1	Stimulus/S  1	1	187683	187691	1	2	60	pips_40_500-8000.hdf5	both	none
19.835	1	Stimulus/S  1	1	198350	198358	1	3	70	pips_40_500-8000.hdf5	both	none
20.9017	1	Stimulus/S  1	1	209017	209025	1	4	50	pips_40_500-8000.hdf5	both	none
21.9577	1	Stimulus/S  1	1	219577	219585	1	5	30	pips_40_500-8000.hdf5	both	none
23.0244	1	Stimulus/S  1	1	230244	230252	2	0	20	pips_40_500-8000.hdf5	both	none
24.0697	1	Stimulus/S  1	1	240697	240705	2	1	40	pips_40_500-8000.hdf5	both	none
25.1364	1	Stimulus/S  1	1	251364	251372	2	2	60	pips_40_500-8000.hdf5	both	none
26.1818	1	Stimulus/S  1	1	261818	261826	2	3	70	pips_40_500-8000.hdf5	both	none
27.2378	1	Stimulus/S  1	1	272378	272386	2	4	50	pips_40_500-8000.hdf5	both	none
28.2831	1	Stimulus/S  1	1	282831	282839	2	5	30	pips_40_500-8000.hdf5	both	none
29.3498	1	Stimulus/S  1	1	293498	293506	3	0	20	pips_40_500-8000.hdf5	both	none
30.4058	1	Stimulus/S  1	1	304058	304066	3	1	40	pips_40_500-8000.hdf5	both	none
31.4725	1	Stimulus/S  1	1	314725	314733	3	2	60	pips_40_500-8000.hdf5	both	none
32.5178	1	Stimulus/S  1	1	325178	325186	3	3	70	pips_40_500-8000.hdf5	both	none
33.5845	1	Stimulus/S  1	1	335845	335853	3	4	50	pips_40_500-8000.hdf5	both	none
34.6512	1	Stimulus/S  1	1	346512	346520	3	5	30	pips_40_500-8000.hdf5	both	none
35.7179	1	Stimulus/S  1	1	357179	357187	4	0	20	pips_40_500-8000.hdf5	both	none
36.7845	1	Stimulus/S  1	1	367845	367853	4	1	40	pips_40_500-8000.hdf5	both	none
37.8512	1	Stimulus/S  1	1	378512	378520	4	2	60	pips_40_500-8000.hdf5	both	none
38.9179	1	Stimulus/S  1	1	389179	389187	4	3	70	pips_40_500-8000.hdf5	both	none
39.9739	1	Stimulus/S  1	1	399739	399747	4	4	50	pips_40_500-8000.hdf5	both	none
41.0406	1	Stimulus/S  1	1	410406	410414	4	5	30	pips_40_500-8000.hdf5	both	none
42.0859	1	Stimulus/S  1	1	420859	420867	5	0	20	pips_40_500-8000.hdf5	both	none
43.1419	1	Stimulus/S  1	1	431419	431427	5	1	40	pips_40_500-8000.hdf5	both	none
44.1873	1	Stimulus/S  1	1	441873	441881	5	2	60	pips_40_500-8000.hdf5	both	none
45.2326	1	Stimulus/S  1	1	452326	452334	5	3	70	pips_40_500-8000.hdf5	both	none
46.2886	1	Stimulus/S  1	1	462886	462894	5	4	50	pips_40_500-8000.hdf5	both	none
47.334	1	Stimulus/S  1	1	473340	473348	5	5	30	pips_40_500-8000.hdf5	both	none
48.39	1	Stimulus/S  1	1	483900	483908	6	0	20	pips_40_500-8000.hdf5	both	none
49.4353	1	Stimulus/S  1	1	494353	494361	6	1	40	pips_40_500-8000.hdf5	both	none
50.502	1	Stimulus/S  1	1	505020	505028	6	2	60	pips_40_500-8000.hdf5	both	none
51.5687	1	Stimulus/S  1	1	515687	515695	6	3	70	pips_40_500-8000.hdf5	both	none
52.6354	1	Stimulus/S  1	1	526354	526362	6	4	50	pips_40_500-8000.hdf5	both	none
53.702	1	Stimulus/S  1	1	537020	537028	6	5	30	pips_40_500-8000.hdf5	both	none
54.7687	1	Stimulus/S  1	1	547687	547695	7	0	20	pips_40_500-8000.hdf5	both	none
55.8354	1	Stimulus/S  1	1	558354	558362	7	1	40	pips_40_500-8000.hdf5	both	none
56.8914	1	Stimulus/S  1	1	568914	568922	7	2	60	pips_40_500-8000.hdf5	both	none
57.9581	1	Stimulus/S  1	1	579581	579589	7	3	70	pips_40_500-8000.hdf5	both	none
59.0034	1	Stimulus/S  1	1	590034	590042	7	4	50	pips_40_500-8000.hdf5	both	none
60.0488	1	Stimulus/S  1	1	600488	600496	7	5	30	pips_40_500-8000.hdf5	both	none
61.1048	1	Stimulus/S  1	1	611048	611056	8	0	20	pips_40_500-8000.hdf5	both	none
62.1501	1	Stimulus/S  1	1	621501	621509	8	1	40	pips_40_500-8000.hdf5	both	none
63.2061	1	Stimulus/S  1	1	632061	632069	8	2	60	pips_40_500-8000.hdf5	both	none
64.2515	1	Stimulus/S  1	1	642515	642523	8	3	70	pips_40_500-8000.hdf5	both	none
65.3075	1	Stimulus/S  1	1	653075	653083	8	4	50	pips_40_500-8000.hdf5	both	none
66.3528	1	Stimulus/S  1	1	663528	663536	8	5	30	pips_40_500-8000.hdf5	both	none
67.4195	1	Stimulus/S  1	1	674195	674203	9	0	20	pips_40_500-8000.hdf5	both	none
68.4862	1	Stimulus/S  1	1	684862	684870	9	1	40	pips_40_500-8000.hdf5	both	none
69.5529	1	Stimulus/S  1	1	695529	695537	9	2	60	pips_40_500-8000.hdf5	both	none
70.6196	1	Stimulus/S  1	1	706196	706204	9	3	70	pips_40_500-8000.hdf5	both	none
71.6862	1	Stimulus/S  1	1	716862	716870	9	4	50	pips_40_500-8000.hdf5	both	none
72.7529	1	Stimulus/S  1	1	727529	727537	9	5	30	pips_40_500-8000.hdf5	both	none
73.8089	1	Stimulus/S  1	1	738089	738097	10	0	20	pips_40_500-8000.hdf5	both	none
74.8756	1	Stimulus/S  1	1	748756	748764	10	1	40	pips_40_500-8000.hdf5	both	none
75.9209	1	Stimulus/S  1	1	759209	759217	10	2	60	pips_40_500-8000.hdf5	both	none
76.9663	1	Stimulus/S  1	1	769663	769671	10	3	70	pips_40_500-8000.hdf5	both	none
78.0223	1	Stimulus/S  1	1	780223	780231	10	4	50	pips_40_500-8000.hdf5	both	none
79.0676	1	Stimulus/S  1	1	790676	790684	10	5	30	pips_40_500-8000.hdf5	both	none
80.1237	1	Stimulus/S  1	1	801237	801245	11	0	20	pips_40_500-8000.hdf5	both	none
81.169	1	Stimulus/S  1	1	811690	811698	11	1	40	pips_40_500-8000.hdf5	both	none
82.225	1	Stimulus/S  1	1	822250	822258	11	2	60	pips_40_500-8000.hdf5	both	none
83.2704	1	Stimulus/S  1	1	832704	832712	11	3	70	pips_40_500-8000.hdf5	both	none
84.337	1	Stimulus/S  1	1	843370	843378	11	4	50	pips_40_500-8000.hdf5	both	none
85.4037	1	Stimulus/S  1	1	854037	854045	11	5	30	pips_40_500-8000.hdf5	both	none
86.4704	1	Stimulus/S  1	1	864704	864712	12	0	20	pips_40_500-8000.hdf5	both	none
87.5371	1	Stimulus/S  1	1	875371	875379	12	1	40	pips_40_500-8000.hdf5	both	none
88.6037	1	Stimulus/S  1	1	886037	886045	12	2	60	pips_40_500-8000.hdf5	both	none
89.6704	1	Stimulus/S  1	1	896704	896712	12	3	70	pips_40_500-8000.hdf5	both	none
90.7158	1	Stimulus/S  1	1	907158	907166	12	4	50	pips_40_500-8000.hdf5	both	none
91.7718	1	Stimulus/S  1	1	917718	917726	12	5	30	pips_40_500-8000.hdf5	both	none
92.8171	1	Stimulus/S  1	1	928171	928179	13	0	20	pips_40_500-8000.hdf5	both	none
93.8731	1	Stimulus/S  1	1	938731	938739	13	1	40	pips_40_500-8000.hdf5	both	none
94.9185	1	Stimulus/S  1	1	949185	949193	13	2	60	pips_40_500-8000.hdf5	both	none
95.9745	1	Stimulus/S  1	1	959745	959753	13	3	70	pips_40_500-8000.hdf5	both	none
97.0412	1	Stimulus/S  1	1	970412	970420	13	4	50	pips_40_500-8000.hdf5	both	none
98.0865	1	Stimulus/S  1	1	980865	980873	13	5	30	pips_40_500-8000.hdf5	both	none
99.1532	1	Stimulus/S  1	1	991532	991540	14	0	20	pips_40_500-8000.hdf5	both	none
100.2199	1	Stimulus/S  1	1	1002199	1002207	14	1	40	pips_40_500-8000.hdf5	both	none
101.2865	1	Stimulus/S  1	1	1012865	1012873	14	2	60	pips_40_500-8000.hdf5	both	none
102.3532	1	Stimulus/S  1	1	1023532	1023540	14	3	70	pips_40_500-8000.hdf5	both	none
103.4199	1	Stimulus/S  1	1	1034199	1034207	14	4	50	pips_40_500-8000.hdf5	both	none
104.4866	1	Stimulus/S  1	1	1044866	1044874	14	5	30	pips_40_500-8000.hdf5	both	none
105.5426	1	Stimulus/S  1	1	1055426	1055434	15	0	20	pips_40_500-8000.hdf5	both	none
106.5879	1	Stimulus/S  1	1	1065879	1065887	15	1	40	pips_40_500-8000.hdf5	both	none
107.6333	1	Stimulus/S  1	1	1076333	1076341	15	2	60	pips_40_500-8000.hdf5	both	none
108.6893	1	Stimulus/S  1	1	1086893	1086901	15	3	70	pips_40_500-8000.hdf5	both	none
109.7346	1	Stimulus/S  1	1	1097346	1097354	15	4	50	pips_40_500-8000.hdf5	both	none
110.7906	1	Stimulus/S  1	1	1107906	1107914	15	5	30	pips_40_500-8000.hdf5	both	none
111.8573	1	Stimulus/S  1	1	1118573	1118581	16	0	20	pips_40_500-8000.hdf5	both	none
112.9027	1	Stimulus/S  1	1	1129027	1129035	16	1	40	pips_40_500-8000.hdf5	both	none
113.9693	1	Stimulus/S  1	1	1139693	1139701	16	2	60	pips_40_500-8000.hdf5	both	none
115.036	1	Stimulus/S  1	1	1150360	1150368	16	3	70	pips_40_500-8000.hdf5	both	none
116.1027	1	Stimulus/S  1	1	1161027	1161035	16	4	50	pips_40_500-8000.hdf5	both	none
117.1694	1	Stimulus/S  1	1	1171694	1171702	16	5	30	pips_40_500-8000.hdf5	both	none
118.2361	1	Stimulus/S  1	1	1182361	1182369	17	0	20	pips_40_500-8000.hdf5	both	none
119.3027	1	Stimulus/S  1	1	1193027	1193035	17	1	40	pips_40_500-8000.hdf5	both	none
120.3587	1	Stimulus/S  1	1	1203587	1203595	17	2	60	pips_40_500-8000.hdf5	both	none
121.4041	1	Stimulus/S  1	1	1214041	1214049	17	3	70	pips_40_500-8000.hdf5	both	none
122.4494	1	Stimulus/S  1	1	1224494	1224502	17	4	50	pips_40_500-8000.hdf5	both	none
123.5054	1	Stimulus/S  1	1	1235054	1235062	17	5	30	pips_40_500-8000.hdf5	both	none
124.5508	1	Stimulus/S  1	1	1245508	1245516	18	0	20	pips_40_500-8000.hdf5	both	none
125.6068	1	Stimulus/S  1	1	1256068	1256076	18	1	40	pips_40_500-8000.hdf5	both	none
126.6521	1	Stimulus/S  1	1	1266521	1266529	18	2	60	pips_40_500-8000.hdf5	both	none
127.7082	1	Stimulus/S  1	1	1277082	1277090	18	3	70	pips_40_500-8000.hdf5	both	none
128.7748	1	Stimulus/S  1	1	1287748	1287756	18	4	50	pips_40_500-8000.hdf5	both	none
129.8202	1	Stimulus/S  1	1	1298202	1298210	18	5	30	pips_40_500-8000.hdf5	both	none
130.8869	1	Stimulus/S  1	1	1308869	1308877	19	0	20	pips_40_500-8000.hdf5	both	none
131.9535	1	Stimulus/S  1	1	1319535	1319543	19	1	40	pips_40_500-8000.hdf5	both	none
133.0202	1	Stimulus/S  1	1	1330202	1330210	19	2	60	pips_40_500-8000.hdf5	both	none
134.0762	1	Stimulus/S  1	1	1340762	1340770	19	3	70	pips_40_500-8000.hdf5	both	none
135.1429	1	Stimulus/S  1	1	1351429	1351437	19	4	50	pips_40_500-8000.hdf5	both	none
136.1882	1	Stimulus/S  1	1	1361882	1361890	19	5	30	pips_40_500-8000.hdf5	both	none
137.2549	1	Stimulus/S  1	1	1372549	1372557	20	0	20	pips_40_500-8000.hdf5	both	none
138.3003	1	Stimulus/S  1	1	1383003	1383011	20	1	40	pips_40_500-8000.hdf5	both	none
139.3563	1	Stimulus/S  1	1	1393563	1393571	20	2	60	pips_40_500-8000.hdf5	both	none
140.4016	1	Stimulus/S  1	1	1404016	1404024	20	3	70	pips_40_500-8000.hdf5	both	none
141.4576	1	Stimulus/S  1	1	1414576	1414584	20	4	50	pips_40_500-8000.hdf5	both	none
142.503	1	Stimulus/S  1	1	1425030	1425038	20	5	30	pips_40_500-8000.hdf5	both	none
143.5697	1	Stimulus/S  1	1	1435697	1435705	21	0	20	pips_40_500-8000.hdf5	both	none
144.6257	1	Stimulus/S  1	1	1446257	1446265	21	1	40	pips_40_500-8000.hdf5	both	none
145.671	1	Stimulus/S  1	1	1456710	1456718	21	2	60	pips_40_500-8000.hdf5	both	none
146.727	1	Stimulus/S  1	1	1467270	1467278	21	3	70	pips_40_500-8000.hdf5	both	none
147.7724	1	Stimulus/S  1	1	1477724	1477732	21	4	50	pips_40_500-8000.hdf5	both	none
148.8177	1	Stimulus/S  1	1	1488177	1488185	21	5	30	pips_40_500-8000.hdf5	both	none
149.8844	1	Stimulus/S  1	1	1498844	1498852	22	0	20	pips_40_500-8000.hdf5	both	none
150.9404	1	Stimulus/S  1	1	1509404	1509412	22	1	40	pips_40_500-8000.hdf5	both	none
152.0071	1	Stimulus/S  1	1	1520071	1520079	22	2	60	pips_40_500-8000.hdf5	both	none
153.0738	1	Stimulus/S  1	1	1530738	1530746	22	3	70	pips_40_500-8000.hdf5	both	none
154.1404	1	Stimulus/S  1	1	1541404	1541412	22	4	50	pips_40_500-8000.hdf5	both	none
155.2071	1	Stimulus/S  1	1	1552071	1552079	22	5	30	pips_40_500-8000.hdf5	both	none
156.2738	1	Stimulus/S  1	1	1562738	1562746	23	0	20	pips_40_500-8000.hdf5	both	none
157.3405	1	Stimulus/S  1	1	1573405	1573413	23	1	40	pips_40_500-8000.hdf5	both	none
158.4071	1	Stimulus/S  1	1	1584071	1584079	23	2	60	pips_40_500-8000.hdf5	both	none
159.4738	1	Stimulus/S  1	1	1594738	1594746	23	3	70	pips_40_500-8000.hdf5	both	none
160.5405	1	Stimulus/S  1	1	1605405	1605413	23	4	50	pips_40_500-8000.hdf5	both	none
161.5858	1	Stimulus/S  1	1	1615858	1615866	23	5	30	pips_40_500-8000.hdf5	both	none
162.6525	1	Stimulus/S  1	1	1626525	1626533	24	0	20	pips_40_500-8000.hdf5	both	none
163.7085	1	Stimulus/S  1	1	1637085	1637093	24	1	40	pips_40_500-8000.hdf5	both	none
164.7752	1	Stimulus/S  1	1	1647752	1647760	24	2	60	pips_40_500-8000.hdf5	both	none
165.8206	1	Stimulus/S  1	1	1658206	1658214	24	3	70	pips_40_500-8000.hdf5	both	none
166.8766	1	Stimulus/S  1	1	1668766	1668774	24	4	50	pips_40_500-8000.hdf5	both	none
167.9219	1	Stimulus/S  1	1	1679219	1679227	24	5	30	pips_40_500-8000.hdf5	both	none
168.9673	1	Stimulus/S  1	1	1689673	1689681	25	0	20	pips_40_500-8000.hdf5	both	none
170.0233	1	Stimulus/S  1	1	1700233	1700241	25	1	40	pips_40_500-8000.hdf5	both	none
171.0899	1	Stimulus/S  1	1	1710899	1710907	25	2	60	pips_40_500-8000.hdf5	both	none
172.1353	1	Stimulus/S  1	1	1721353	1721361	25	3	70	pips_40_500-8000.hdf5	both	none
173.202	1	Stimulus/S  1	1	1732020	1732028	25	4	50	pips_40_500-8000.hdf5	both	none
174.258	1	Stimulus/S  1	1	1742580	1742588	25	5	30	pips_40_500-8000.hdf5	both	none
175.3247	1	Stimulus/S  1	1	1753247	1753255	26	0	20	pips_40_500-8000.hdf5	both	none
176.3913	1	Stimulus/S  1	1	1763913	1763921	26	1	40	pips_40_500-8000.hdf5	both	none
177.458	1	Stimulus/S  1	1	1774580	1774588	26	2	60	pips_40_500-8000.hdf5	both	none
