onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
26.3309	1	Stimulus/S  1	1	263309	263317	0	0	20	pips_l400_r40_500-8000.hdf5	left	right
27.3869	1	Stimulus/S  1	1	273869	273877	0	1	40	pips_l400_r40_500-8000.hdf5	left	right
28.4322	1	Stimulus/S  1	1	284322	284330	0	2	60	pips_l400_r40_500-8000.hdf5	left	right
29.4882	1	Stimulus/S  1	1	294882	294890	0	3	70	pips_l400_r40_500-8000.hdf5	left	right
30.5336	1	Stimulus/S  1	1	305336	305344	0	4	50	pips_l400_r40_500-8000.hdf5	left	right
31.5789	1	Stimulus/S  1	1	315789	315797	0	5	30	pips_l400_r40_500-8000.hdf5	left	right
32.6349	1	Stimulus/S  1	1	326349	326357	1	0	20	pips_l400_r40_500-8000.hdf5	left	right
33.6803	1	Stimulus/S  1	1	336803	336811	1	1	40	pips_l400_r40_500-8000.hdf5	left	right
34.7363	1	Stimulus/S  1	1	347363	347371	1	2	60	pips_l400_r40_500-8000.hdf5	left	right
35.803	1	Stimulus/S  1	1	358030	358038	1	3	70	pips_l400_r40_500-8000.hdf5	left	right
36.8483	1	Stimulus/S  1	1	368483	368491	1	4	50	pips_l400_r40_500-8000.hdf5	left	right
37.915	1	Stimulus/S  1	1	379150	379158	1	5	30	pips_l400_r40_500-8000.hdf5	left	right
38.971	1	Stimulus/S  1	1	389710	389718	2	0	20	pips_l400_r40_500-8000.hdf5	left	right
40.0377	1	Stimulus/S  1	1	400377	400385	2	1	40	pips_l400_r40_500-8000.hdf5	left	right
41.1044	1	Stimulus/S  1	1	411044	411052	2	2	60	pips_l400_r40_500-8000.hdf5	left	right
42.171	1	Stimulus/S  1	1	421710	421718	2	3	70	pips_l400_r40_500-8000.hdf5	left	right
43.2377	1	Stimulus/S  1	1	432377	432385	2	4	50	pips_l400_r40_500-8000.hdf5	left	right
44.3044	1	Stimulus/S  1	1	443044	443052	2	5	30	pips_l400_r40_500-8000.hdf5	left	right
45.3711	1	Stimulus/S  1	1	453711	453719	3	0	20	pips_l400_r40_500-8000.hdf5	left	right
46.4164	1	Stimulus/S  1	1	464164	464172	3	1	40	pips_l400_r40_500-8000.hdf5	left	right
47.4831	1	Stimulus/S  1	1	474831	474839	3	2	60	pips_l400_r40_500-8000.hdf5	left	right
48.5391	1	Stimulus/S  1	1	485391	485399	3	3	70	pips_l400_r40_500-8000.hdf5	left	right
49.5844	1	Stimulus/S  1	1	495844	495852	3	4	50	pips_l400_r40_500-8000.hdf5	left	right
50.6298	1	Stimulus/S  1	1	506298	506306	3	5	30	pips_l400_r40_500-8000.hdf5	left	right
51.6858	1	Stimulus/S  1	1	516858	516866	4	0	20	pips_l400_r40_500-8000.hdf5	left	right
52.7311	1	Stimulus/S  1	1	527311	527319	4	1	40	pips_l400_r40_500-8000.hdf5	left	right
