onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
35.4895	1	Stimulus/S  1	1	354895	354903	0	0	20	pips_40_500-8000.hdf5	both	none
36.5456	1	Stimulus/S  1	1	365456	365464	0	1	40	pips_40_500-8000.hdf5	both	none
37.6122	1	Stimulus/S  1	1	376122	376130	0	2	60	pips_40_500-8000.hdf5	both	none
38.6789	1	Stimulus/S  1	1	386789	386797	0	3	70	pips_40_500-8000.hdf5	both	none
39.7242	1	Stimulus/S  1	1	397242	397250	0	4	50	pips_40_500-8000.hdf5	both	none
40.7909	1	Stimulus/S  1	1	407909	407917	0	5	30	pips_40_500-8000.hdf5	both	none
41.8469	1	Stimulus/S  1	1	418469	418477	1	0	20	pips_40_500-8000.hdf5	both	none
42.9136	1	Stimulus/S  1	1	429136	429144	1	1	40	pips_40_500-8000.hdf5	both	none
43.9803	1	Stimulus/S  1	1	439803	439811	1	2	60	pips_40_500-8000.hdf5	both	none
45.0256	1	Stimulus/S  1	1	450256	450264	1	3	70	pips_40_500-8000.hdf5	both	none
46.0923	1	Stimulus/S  1	1	460923	460931	1	4	50	pips_40_500-8000.hdf5	both	none
47.1483	1	Stimulus/S  1	1	471483	471491	1	5	30	pips_40_500-8000.hdf5	both	none
48.215	1	Stimulus/S  1	1	482150	482158	2	0	20	pips_40_500-8000.hdf5	both	none
49.2817	1	Stimulus/S  1	1	492817	492825	2	1	40	pips_40_500-8000.hdf5	both	none
50.327	1	Stimulus/S  1	1	503270	503278	2	2	60	pips_40_500-8000.hdf5	both	none
51.3724	1	Stimulus/S  1	1	513724	513732	2	3	70	pips_40_500-8000.hdf5	both	none
52.439	1	Stimulus/S  1	1	524390	524398	2	4	50	pips_40_500-8000.hdf5	both	none
53.4951	1	Stimulus/S  1	1	534951	534959	2	5	30	pips_40_500-8000.hdf5	both	none
54.5617	1	Stimulus/S  1	1	545617	545625	3	0	20	pips_40_500-8000.hdf5	both	none
55.6071	1	Stimulus/S  1	1	556071	556079	3	1	40	pips_40_500-8000.hdf5	both	none
56.6631	1	Stimulus/S  1	1	566631	566639	3	2	60	pips_40_500-8000.hdf5	both	none
57.7298	1	Stimulus/S  1	1	577298	577306	3	3	70	pips_40_500-8000.hdf5	both	none
58.7751	1	Stimulus/S  1	1	587751	587759	3	4	50	pips_40_500-8000.hdf5	both	none
59.8311	1	Stimulus/S  1	1	598311	598319	3	5	30	pips_40_500-8000.hdf5	both	none
60.8765	1	Stimulus/S  1	1	608765	608773	4	0	20	pips_40_500-8000.hdf5	both	none
61.9218	1	Stimulus/S  1	1	619218	619226	4	1	40	pips_40_500-8000.hdf5	both	none
62.9885	1	Stimulus/S  1	1	629885	629893	4	2	60	pips_40_500-8000.hdf5	both	none
64.0445	1	Stimulus/S  1	1	640445	640453	4	3	70	pips_40_500-8000.hdf5	both	none
65.1112	1	Stimulus/S  1	1	651112	651120	4	4	50	pips_40_500-8000.hdf5	both	none
