onset	duration	trial_type	value	sample	sample_corrected	token	run	level	stim_file	ear_ac	ear_bc
5.4992	1	Stimulus/S  1	1	54992	55000	0	0	20	pips_l40_r400_500-8000.hdf5	right	left
6.5659	1	Stimulus/S  1	1	65659	65667	0	1	40	pips_l40_r400_500-8000.hdf5	right	left
7.6326	1	Stimulus/S  1	1	76326	76334	0	2	60	pips_l40_r400_500-8000.hdf5	right	left
8.6993	1	Stimulus/S  1	1	86993	87001	0	3	70	pips_l40_r400_500-8000.hdf5	right	left
9.7659	1	Stimulus/S  1	1	97659	97667	0	4	50	pips_l40_r400_500-8000.hdf5	right	left
10.822	1	Stimulus/S  1	1	108220	108228	0	5	30	pips_l40_r400_500-8000.hdf5	right	left
11.8886	1	Stimulus/S  1	1	118886	118894	1	0	20	pips_l40_r400_500-8000.hdf5	right	left
12.934	1	Stimulus/S  1	1	129340	129348	1	1	40	pips_l40_r400_500-8000.hdf5	right	left
14.0007	1	Stimulus/S  1	1	140007	140015	1	2	60	pips_l40_r400_500-8000.hdf5	right	left
15.046	1	Stimulus/S  1	1	150460	150468	1	3	70	pips_l40_r400_500-8000.hdf5	right	left
16.102	1	Stimulus/S  1	1	161020	161028	1	4	50	pips_l40_r400_500-8000.hdf5	right	left
17.1474	1	Stimulus/S  1	1	171474	171482	1	5	30	pips_l40_r400_500-8000.hdf5	right	left
18.2034	1	Stimulus/S  1	1	182034	182042	2	0	20	pips_l40_r400_500-8000.hdf5	right	left
19.2487	1	Stimulus/S  1	1	192487	192495	2	1	40	pips_l40_r400_500-8000.hdf5	right	left
20.3047	1	Stimulus/S  1	1	203047	203055	2	2	60	pips_l40_r400_500-8000.hdf5	right	left
21.3501	1	Stimulus/S  1	1	213501	213509	2	3	70	pips_l40_r400_500-8000.hdf5	right	left
22.3954	1	Stimulus/S  1	1	223954	223962	2	4	50	pips_l40_r400_500-8000.hdf5	right	left
23.4514	1	Stimulus/S  1	1	234514	234522	2	5	30	pips_l40_r400_500-8000.hdf5	right	left
24.4968	1	Stimulus/S  1	1	244968	244976	3	0	20	pips_l40_r400_500-8000.hdf5	right	left
25.5634	1	Stimulus/S  1	1	255634	255642	3	1	40	pips_l40_r400_500-8000.hdf5	right	left
26.6301	1	Stimulus/S  1	1	266301	266309	3	2	60	pips_l40_r400_500-8000.hdf5	right	left
27.6968	1	Stimulus/S  1	1	276968	276976	3	3	70	pips_l40_r400_500-8000.hdf5	right	left
28.7635	1	Stimulus/S  1	1	287635	287643	3	4	50	pips_l40_r400_500-8000.hdf5	right	left
29.8302	1	Stimulus/S  1	1	298302	298310	3	5	30	pips_l40_r400_500-8000.hdf5	right	left
30.8968	1	Stimulus/S  1	1	308968	308976	4	0	20	pips_l40_r400_500-8000.hdf5	right	left
31.9635	1	Stimulus/S  1	1	319635	319643	4	1	40	pips_l40_r400_500-8000.hdf5	right	left
33.0302	1	Stimulus/S  1	1	330302	330310	4	2	60	pips_l40_r400_500-8000.hdf5	right	left
34.0969	1	Stimulus/S  1	1	340969	340977	4	3	70	pips_l40_r400_500-8000.hdf5	right	left
35.1529	1	Stimulus/S  1	1	351529	351537	4	4	50	pips_l40_r400_500-8000.hdf5	right	left
36.2196	1	Stimulus/S  1	1	362196	362204	4	5	30	pips_l40_r400_500-8000.hdf5	right	left
37.2649	1	Stimulus/S  1	1	372649	372657	5	0	20	pips_l40_r400_500-8000.hdf5	right	left
38.3209	1	Stimulus/S  1	1	383209	383217	5	1	40	pips_l40_r400_500-8000.hdf5	right	left
39.3663	1	Stimulus/S  1	1	393663	393671	5	2	60	pips_l40_r400_500-8000.hdf5	right	left
40.4223	1	Stimulus/S  1	1	404223	404231	5	3	70	pips_l40_r400_500-8000.hdf5	right	left
41.4676	1	Stimulus/S  1	1	414676	414684	5	4	50	pips_l40_r400_500-8000.hdf5	right	left
42.513	1	Stimulus/S  1	1	425130	425138	5	5	30	pips_l40_r400_500-8000.hdf5	right	left
43.569	1	Stimulus/S  1	1	435690	435698	6	0	20	pips_l40_r400_500-8000.hdf5	right	left
44.6143	1	Stimulus/S  1	1	446143	446151	6	1	40	pips_l40_r400_500-8000.hdf5	right	left
45.681	1	Stimulus/S  1	1	456810	456818	6	2	60	pips_l40_r400_500-8000.hdf5	right	left
